AT,
MACRIA N A LIB LEG I,
CA,
COL NIM,
COSSVS LENTVLVS RES PVB AVGVST,
FORT RED CAES AVG S P Q R,
FORTVN REDV CAESARI AVG S P Q R,
FORTVN REDVC CAESARI AVG S P Q R,
GERMANVS INDVTILLI F,
IMP CAESAR DIVI F COS VI LIBERTATIS P R VINDEX,
L MESCINIVS AVG SVF P,
QVOD VIAE MVN SVNT,
S P Q R  CL V,
S P R SIGNIS RECEPTIS,
L CLODI MACRI LIBERA S C,
LIB LEG III,
MACRIAN LIB LEG I,
MACRIANA LIB LEG I,
OCTAVIA BRTIANNICVS ANTONIA,
PRAETOR RECEPT,
PROPRA AFRICA,
PROPRAE AFRICAE,
ROM ET AVG COM ASI,
SACERD COOPT IN OMN CONL SVPRA NVM EX S C,
SACERD COOPT IN OMN CONL SVPRA NVM EX SC,
SACERDOS DIVI AVGVSTI,
TI CLAVD CAES AVG AGRIPP AVGVSTA,
AC IT IB,
NERO CAESAR AVG IMP TR POT XI P P P,
NERO CLAVD CAESAR AVG GER P M TR P IMP P,
NERO CLAVD CAESAR AVG GERM P M TR P IMP P,
NERO CLAVDIVS CAESAR AVG GER P M TR P IMP P,
TR PON P P S S C,
IMP CAES VESP AVG P TRI P COS,
IMP CAES VESPAS AVG P TRI P II COS II,
ROM ET AVG G,
CAE DVM ET TI CAES IMP VESPAS,caesar domitianvs et titvs caesar imperator vespasianvs
CAESAR AVG F COS CAESAR AVG F PR,
CAESAR AVG F COS CAESAR AVG F PR S C,
COS XVII CENS P P P G,
EX,
GERMANICVS CAES TI AVG F DIVI AVG N,
GERMANICVS CAESAR TI AVG F DIVI AVG N,
IMP T CAES AVG REST S C  PROVIDENT,
IMPERATOR T CAESAR AVGVSTI E,imperator titvs caesar avgvsti filivs
IMPERATOR T CAESAR AVGVSTI F,imperator titvs caesar avgvsti filivs
ION MAX TR P COS V,
T ELAVI VESPASIANVS CAESAR,titvs flavivs vespasianvs caesar
