ADLOCVT COH,
AGRIPPINA DRVSILLA IVLIA S C,
AGRIPPINA M F MAT C CAESARIS AVGVSTI,
AGRIPPINA MAT C CAES AVG GERM,
ARTAXIAS GERMANICVS,
C CAESAR AVG GERM P M TR POT,
C CAESAR AVG GERM P M TR POT COS,
C CAESAR AVG GERMANICVS,
C CAESAR AVG GERMANICVS P M TR POT PIETAS,
C CAESAR AVG GERMANICVS PON M TR POT,
C CAESAR AVG PON M TR POT III COS III,
C CAESAR AVG PON M TR POT IIII COS IIII,
C CAESAR DIVI AVG PRON AVG,
C CAESAR DIVI AVG PRON AVG P M TR P III P P,
C CAESAR DIVI AVG PRON AVG P M TR P IIII P P,
C CAESAR DIVI AVG PRON AVG P M TR P IIII P P PIETAS,
C CAESAR DIVI AVG PRON AVG P M TR POT III P P,
C CAESAR DIVI AVG PRON AVG P M TR POT III PP,
CONSENSV SENAT ET EQ ORDIN P Q R,
DIVO AVG S C,
DIVVS AVG PATER PATRIAE,
DIVVS AVGVSTVS,
DIVVS AVGVSTVS S C,
GERMANICVS CAES P C CAES AVG GERM,
GERMANICVS CAESAR,
GERMANICVS CAESAR TI AVG F COS II,
GERMANICVS CAESAR TI AVGVST F DIVI AVG N,
IMPERATOR PONT MAX AVG TR POT,
NERO ET DRVSVS CAESARES,
PM TR POT COS,pontifex maximvs tribvnicia potestate consvl
PM TR POT IIII,pontifex maximvs tribvnicia potestate Ⅳ
PM TR POT ITER,pontifex maximvs tribvnicia potestate itervm
PON M TR P III P P COS DES III,pontifex maximvs tribvnicia potestate Ⅲ pater patriae consvl designatvs Ⅲ
PON M TR P III P P COS TERT,pontifex maximvs tribvnicia potestate Ⅲ pater patriae consvl tertivs
PON M TR P IIII P P COS TERT,pontifex maximvs tribvnicia potestate Ⅳ pater patriae consvl tertivs
S P Q R  MEMORIAE AGRIPPINAE,senatvs popvlvs+qve romanvs memoriae agrippinae
S P Q R  P P OB CIVES SERVATOS,senatvs popvlvs+qve romanvs pater patriae ob cives servatos
S P Q R  PP OB CS,senatvs popvlvs+qve romanvs pater patriae ob cives servatos
SIGNIS RECEPT DEVICTIS GERM S C,
